date,killed,injured,location
8/3/2014,0,5,"St. Louis, MO"
8/3/2014,1,3,"Beloit, WI"
8/3/2014,0,4,"Columbia, TN"
8/4/2014,0,5,"Atlanta, GA"
8/5/2014,3,1,"Fayetteville, NC"
8/6/2014,3,1,"Bakersfield, CA"
8/6/2014,0,4,"Chicago, IL"
8/7/2014,0,4,"Wichita, KS"
8/7/2014,0,4,"St. Pauls, PA"
8/8/2014,1,3,"Albuquerque, NM"
8/8/2014,0,4,"Milwaukee, WI"
8/8/2014,0,4,Washington DC
8/8/2014,0,4,"Hauma, LA"
8/9/2014,0,9,"Minneapolis, MN"
8/9/2014,0,4,"Columbus, OH"
8/9/2014,0,4,"Philadelphia, PA"
8/10/2014,2,5,"New Orleans, LA"
8/10/2014,0,6,"Wrightsville, GA"
8/10/2014,0,7,"Moreno Valley, CA"
8/10/2014,0,6,Washington DC
8/12/2014,2,3,"Buffalo, NY"
8/12/2014,3,4,"Cartersville, GA"
8/13/2014,1,5,"Memphis, TN"
8/13/2014,0,4,"New Orleans, LA"
8/14/2014,1,3,"Sauk Villiage, IL"
8/15/2014,2,2,"Knoxville, TN"
8/16/2014,2,2,"Camp Spring, MD"
8/16/2014,1,3,"Plainfield, NJ"
8/16/2014,0,6,"Salt Lake City, UT"
8/17/2014,0,4,"Las Vegas, NV"
8/17/2014,0,4,"Queens, NY"
8/17/2014,0,4,"Boston, MA"
8/17/2014,1,4,"Palo Alto, CA"
8/20/2014,0,5,"Frayser, TN"
8/24/2014,1,3,"Chicago, IL"
8/25/2014,2,4,"San Fernando Valley, CA"
8/25/2014,0,4,"Chicago, IL"
8/26/2014,4,0,"Tulsa, OK"
8/27/2014,3,4,"Los Angeles, CA"
8/27/2014,1,3,"Detroit, Mi"
8/30/2014,4,0,"Elmhurst, IL"
8/30/2014,3,1,"Brooksville, FL"
8/31/2014,0,5,"Livermore, CA"
8/31/2014,2,2,"Birmingham, AL"
9/1/2014,2,2,"Greensboro, NC"
9/1/2014,1,3,"Brooklyn, NY"
9/1/2014,4,1,"Greenville, NC"
9/2/2014,3,2,"Kansas City, KS"
9/2/2014,0,5,"Highland, CA"
9/2/2014,2,3,"Jackson, MS"
9/3/2014,0,4,"Los Angeles, CA"
9/4/2014,0,5,"Flint, MI"
9/6/2014,0,5,"Orlando, FL"
9/6/2014,0,5,"Macon, GA"
9/11/2014,2,5,"Detroit, Mi"
9/14/2014,3,1,"Corpus Christi, TX"
9/14/2014,1,3,"Norfolk, VA"
9/14/2014,0,6,"Anchorage, AK"
9/14/2014,0,7,"Abbeville, LA"
9/15/2014,0,4,"Cleveland, OH"
9/15/2014,0,5,"New Orleans, LA"
9/18/2014,8,0,"Bell, FL"
9/19/2014,0,4,"Queens, NY"
9/20/2014,2,2,"Panola County, MS"
9/21/2014,0,4,"East Liverpool, OH"
9/21/2014,2,2,"Philadelphia, PA"
9/28/2014,0,4,"Philadelphia, PA"
9/28/2014,0,15,"Miami, FL"
9/28/2014,1,6,"Walterboro, SC"
9/28/2014,0,4,"Indianapolis, IN"
9/29/2014,0,4,"Fresno, CA"
9/30/2014,0,5,"Detroit, Mi"
10/2/2014,0,5,"Darlington, SC"
10/4/2014,0,4,"Pomona, CA"
10/4/2014,1,3,"Chicago, IL"
10/4/2014,2,2,"Memphis, TN"
10/5/2014,3,2,"Jacksonville, FL"
10/6/2014,1,5,"Detroit, Mi"
10/7/2014,2,2,"Aberdeen, MS"
10/8/2014,4,0,"Guilderland, NY"
10/8/2014,0,4,"Richmond, VA"
10/9/2014,1,3,"Oklahoma City, OK"
10/9/2014,0,4,"Atlanta, GA"
10/10/2014,0,5,"Utica, NY"
10/11/2014,3,1,"Stockton, CA"
10/12/2014,1,3,"Atlanta, GA"
10/14/2014,3,2,"Peachtree Corners, GA"
10/16/2014,3,1,"Port Orange, FL"
