Title,Author,ISBN,Bookshelves,Date Read
Interactive Data Visualization for the Web,Scott Murray,9781449339739,Finished reading,""
Where the River Burned: Carl Stokes and the Struggle to Save Cleveland,David Stradling,9780801453618,Finished reading,""
Morning Glories: Municipal Reform in the Southwest,Amy Bridges,9780691010090,Finished reading,""
"My Blue Heaven: Life and Politics in the Working-Class Suburbs of Los Angeles, 1920-1965",Becky M. Nicolaides,9780226583013,Finished reading,""
"The City in History: Its Origins, Its Transformations, and Its Prospects",Lewis Mumford,9780156180351,Finished reading,""
Outside Lies Magic: Regaining History and Awareness in Everyday Places,John R. Stilgoe,9780802775634,Finished reading,""
The Size of the Risk: Histories of Multiple Use in the Great Basin,Leisl Carr Childers,9780806149271,Finished reading,""
The Eagle Bird: Mapping a New West,Charles F. Wilkinson,9781555662509,Finished reading,""
The New Nature of Maps: Essays in the History of Cartography,J.B. Harley,9780801870903,Finished reading,""
The Brave Cowboy: An Old Tale in a New Time,Edward Abbey,9780380714599,Finished reading,""
"Bucking the Sun (Two Medicine Country, #4)",Ivan Doig,9780684831497,Finished reading,""
The Fool’s Progress,Edward Abbey,9780805009217,Finished reading,""
Assembling California,John McPhee,9780374523930,Finished reading,""
"Green Metropolis: Why Living Smaller, Living Closer, and Driving Less Are the Keys to Sustainability",David                  Owen,9781594484841,Finished reading,""
Fire on the Mountain,Edward Abbey,9780062193902,Finished reading,""
"The Monkey Wrench Gang (Monkey Wrench Gang, #1)",Edward Abbey,9780061129766,Finished reading,""
Imagined Communities: Reflections on the Origin and Spread of Nationalism,Benedict Anderson,9781844670864,Finished reading,""
Dust Bowl: The Southern Plains in the 1930s,Donald Worster,9780195174885,Finished reading,""
Visual Complexity: Mapping Patterns of Information (history of information and data visualization and guide to today's innovative applications),Manuel Lima,9781616892197,Finished reading,""
An Alphabet Journey,Hajra Meeks,9780615924175,Finished reading,""
Native Performers in Wild West Shows: From Buffalo Bill to Euro Disney,Linda Scarangella McNenley,9780806142814,Finished reading,""
Maps And History: Constructing Images of the Past,Jeremy Black,9780300069761,Finished reading,""
"Many Wests: Place, Culture, and Regional Identity",David M. Wrobel,9780700608614,Finished reading,""
Civil War Wests: Testing the Limits of the United States,Adam Arenson,9780520283794,Finished reading,""
Walden and Civil Disobedience,Henry David Thoreau,9780451532169,Finished reading,""
S.,J.J. Abrams,9780316201643,Finished reading,""
Cool Gray City of Love: 49 Views of San Francisco,Gary Kamiya,9781620401262,Finished reading,""
The Rise of a Prairie Statesman: The Life and Times of George McGovern,Thomas J. Knock,9780691142999,Finished reading,""
